"Player","Pos","School","Ht","Wt","X40yd","Vertical","Bench","Broad.Jump","X3Cone","Shuttle"
"John Abraham","OLB","South Carolina","6-4",252,4.55,NA,NA,NA,NA,NA
"Shaun Alexander","RB","Alabama","6-0",218,4.58,NA,NA,NA,NA,NA
"Darnell Alford","OT","Boston Col.","6-4",334,5.56,25,23,94,8.48,4.98
"Kyle Allamon","TE","Texas Tech","6-2",253,4.97,29,NA,104,7.29,4.49
"Rashard Anderson","CB","Jackson State","6-2",206,4.55,34,NA,123,7.18,4.15
"Jake Arians","K","Ala-Birmingham","5-10",202,NA,NA,NA,NA,NA,NA
"LaVar Arrington","OLB","Penn State","6-3",250,4.53,NA,NA,NA,NA,NA
"Corey Atkins","OLB","South Carolina","6-0",237,4.72,31,21,112,7.96,4.39
"Kyle Atteberry","K","Baylor","6-0",167,NA,NA,NA,NA,NA,NA
"Reggie Austin","CB","Wake Forest","5-9",175,4.44,35,17,119,7.03,4.14
"John Baker","P","North Texas","6-3",227,NA,NA,NA,NA,NA,NA
"Mark Baniewicz","OT","Syracuse","6-6",312,5.34,28,20,96,7.72,4.73
"Rashidi Barnes","S","Colorado","6-0",208,4.62,35,10,114,6.92,4.32
"David Barrett","CB","Arkansas","5-10",199,4.44,37.5,16,116,6.81,4.04
"William Bartee","CB","Oklahoma","6-1",192,4.43,38.5,NA,124,6.7,3.99
"Andrew Bayes","P","East Carolina","6-2",200,NA,NA,NA,NA,NA,NA
"Terrance Beadles","OG","Ark-Pine Bluff","6-3",312,5.19,NA,29,NA,NA,NA
"Robert Bean","CB","Mississippi State","5-11",178,4.5,34.5,NA,122,6.87,4.2
"Anthony Becht","TE","West Virginia","6-6",270,4.78,33.5,NA,123,6.94,4.08
"Matt Beck","ILB","California","6-3",234,4.65,NA,NA,NA,NA,NA
"Rogers Beckett","S","Marshall","6-1",207,4.62,39.5,15,119,6.48,4.29
"Brad Bedell","OG","Colorado","6-4",302,5.07,31.5,17,103,7.76,4.58
"Marcus Bell","ILB","Arizona","6-2",237,4.78,31.5,21,111,7.17,4.33
"Gary Berry","S","Ohio State","5-11",204,4.55,NA,NA,NA,NA,NA
"Michael Boireau","DE","Miami (FL)","6-4",274,5.09,29,26,105,7.68,4.49
"Matt Bowen","S","Iowa","6-1",201,4.49,33,12,115,7.06,4.09
"Carl Bradley","DT","Virginia Tech","6-2",300,5.03,NA,NA,NA,NA,NA
"Tom Brady","QB","Michigan","6-4",211,5.28,24.5,NA,99,7.2,4.38
"Robert Brannon","DT","Iowa State","6-4",309,5.19,28.5,28,99,7.82,4.7
"Keith Brown","RB","UCLA","5-11",216,4.66,30,NA,117,6.64,4.08
"Demario Brown","RB","Utah State","6-0",217,4.72,31,NA,107,7.17,4.39
"Courtney Brown","DE","Penn State","6-5",269,4.78,NA,NA,NA,NA,NA
"Mike Brown","S","Nebraska","5-10",204,4.59,36,14,116,6.93,4.01
"Ralph Brown","CB","Nebraska","5-10",185,4.55,NA,10,NA,NA,NA
"Travis Brown","QB","Northern Arizona","6-3",218,5.01,29,NA,101,7.54,4.87
"Lamont Bryant","DE","Notre Dame","6-3",260,4.91,NA,17,NA,NA,NA
"Marc Bulger","QB","West Virginia","6-2",208,4.97,NA,NA,100,7.46,4.34
"Keith Bulluck","OLB","Syracuse","6-3",244,4.47,38,NA,119,7.33,4.13
"Bill Burke","QB","Michigan State","6-4",206,5.03,28.5,NA,107,7.46,4.42
"Plaxico Burress","WR","Michigan State","6-5",231,4.59,33,NA,115,NA,NA
"David Byrd","CB","Syracuse","5-11",202,4.53,36,14,117,7.18,4.39
"Trung Canidate","RB","Arizona","5-11",193,4.41,NA,18,NA,NA,NA
"Cooper Carlisle","OG","Florida","6-5",297,5.16,31,28,100,7.82,4.48
"Giovanni Carmazzi","QB","Hofstra","6-3",224,4.74,36.5,NA,119,6.94,4.23
"Leonardo Carson","DE","Auburn","6-1",283,5.06,28,22,106,7.82,4.75
"Tyrone Carter","S","Minnesota","5-8",190,4.5,41,16,121,6.75,4.19
"Kwame Cavil","WR","Texas","6-2",208,4.54,39.5,NA,118,NA,NA
"Chris Chaloupka","QB","SMU","6-2",216,4.96,NA,NA,NA,NA,NA
"Doug Chapman","RB","Marshall","5-10",215,4.56,38.5,16,128,6.84,4.2
"Ike Charlton","CB","Virginia Tech","5-11",205,4.47,NA,16,126,NA,NA
"Chrys Chukwuma","RB","Arkansas","6-1",232,4.56,NA,NA,115,NA,NA
"Joey Chustz","OT","Louisiana Tech","6-7",304,5.08,31,28,103,7.65,4.65
"Pedro Cirino","S","Boston Col.","5-11",197,4.59,NA,NA,NA,NA,NA
"John Saint Clair","C","Virginia","6-5",302,5.2,NA,25,NA,NA,NA
"Kendrick Clancy","DT","Mississippi","6-1",283,5.25,27.5,25,108,7.98,4.65
"Travis Claridge","OG","USC","6-5",303,5.15,31.5,29,100,7.77,4.86
"Danny Clark","ILB","Illinois","6-2",245,4.75,NA,20,NA,NA,NA
"Chad Clifton","OT","Tennessee","6-5",334,5.05,30.5,24,102,7.58,4.73
"Chris Cole","WR","Texas A&M","6-0",191,4.37,37.5,NA,125,6.76,4.09
"Chris Coleman","WR","North Carolina State","6-0",211,4.61,32.5,NA,110,6.79,4.1
"Cosey Coleman","OG","Tennessee","6-4",322,5.4,28,NA,101,8.15,4.97
"Laveranues Coles","WR","Florida State","5-11",192,4.41,34,NA,115,6.89,4.39
"Chris Combs","DT","Duke","6-5",286,5.16,NA,22,NA,NA,NA
"Kurth Connell","OT","Washington","6-4",291,5.49,33,27,103,8.14,4.84
"Rameel Connor","DE","Illinois","6-3",276,5,35.5,25,121,7.65,4.45
"D.J. Cooper","DT","Arkansas","6-3",277,5.22,28,NA,108,7.41,4.49
"Ashley Cooper","S","Mississippi State","5-10",208,4.67,NA,16,117,NA,NA
"Renard Cox","CB","Maryland","5-11",192,4.68,38,13,111,7.1,NA
"Casey Crawford","TE","Virginia","6-6",244,4.83,NA,18,NA,NA,NA
"Sedrick Curry","CB","Texas A&M","6-1",197,4.44,39,NA,125,6.34,3.94
"Chris Daniels","WR","Purdue","6-3",217,4.74,33,NA,115,7.2,4.24
"Brandon Daniels","WR","Oklahoma","5-10",211,4.54,NA,NA,NA,NA,NA
"Joe Dean Davenport","TE","Arkansas","6-7",268,5.06,30,13,108,7.33,4.67
"Darren Davis","RB","Iowa State","5-8",189,4.81,32,13,109,7.04,4.47
"Adam Davis","OG","Oklahoma State","6-4",309,5.66,26,NA,92,8.51,5
"JaJuan Dawson","WR","Tulane","6-1",199,4.55,34,NA,117,6.96,4.16
"Ron Dayne","RB","Wisconsin","5-11",259,4.65,NA,NA,NA,NA,NA
"Jerry DeLoach","DT","California","6-3",314,4.99,31.5,19,101,7.4,4.57
"Mike Derouselle","DT","Houston","6-2",314,5.28,27.5,27,96,7.67,4.8
"Na'il Diggs","OLB","Ohio State","6-4",231,4.66,NA,NA,NA,NA,NA
"Reuben Droughns","RB","Oregon","5-11",215,4.66,30,13,115,7.34,4.41
"Ron Dugans","WR","Florida State","6-1",206,4.58,NA,NA,117,NA,NA
"Deon Dyer","FB","North Carolina","5-11",260,4.99,28,NA,104,7.88,4.81
"Chris Edwards","OLB","Georgia Tech","6-5",226,4.65,NA,NA,NA,NA,NA
"Mario Edwards","CB","Florida State","6-0",191,4.46,NA,NA,120,NA,NA
"Shaun Ellis","DE","Tennessee","6-4",280,4.85,NA,NA,NA,NA,NA
"John Engelberger","DE","Virginia Tech","6-4",260,4.73,34,24,115,6.95,4.28
"Dwan Epps","ILB","Texas Southern","6-1",242,4.68,34.5,8,NA,NA,NA
"Matt Farmer","WR","Air Force","6-0",190,4.51,33,NA,108,6.63,3.94
"Danny Farmer","WR","UCLA","6-3",217,4.58,NA,NA,NA,NA,NA
"Kevin Feterik","QB","BYU","5-11",207,4.92,31,NA,106,7.3,4.45
"Chafie Fields","WR","Penn State","6-1",196,4.43,NA,NA,NA,NA,NA
"Aaron Fields","DE","Troy","6-4",243,4.76,34,22,115,7.51,4.56
"Zeron Flemister","TE","Iowa","6-4",249,4.72,37,14,116,6.92,4.16
"Erik Flowers","DE","Arizona State","6-4",271,4.75,33,24,114,7.21,4.15
"Derrick Foster","RB","Texas A&M-Kingsville","5-11",201,4.43,34.5,19,117,6.84,4.36
"Larry Foster","WR","LSU","5-10",198,4.55,37,NA,121,6.88,4.06
"John Frank","DE","Utah","6-4",280,4.78,37,32,117,7.07,4.27
"Bubba Franks","TE","Miami (FL)","6-6",265,4.85,NA,NA,NA,NA,NA
"Todd Franz","S","Tulsa","6-1",199,4.55,NA,14,NA,NA,NA
"Arturo Freeman","S","South Carolina","6-0",188,4.5,35.5,14,124,6.91,4.38
"Byron Frisch","DE","BYU","6-4",281,4.73,34.5,31,114,7.2,4.41
"Mondriel Fulcher","FB","Miami (FL)","6-3",253,4.85,27,18,116,7.46,4.52
"Trent Gamble","S","Wyoming","5-9",186,4.56,37,21,124,6.6,3.9
"Jason Gavadza","TE","Kent State","6-3",249,4.62,32.5,22,113,7.15,4.3
"Trevor Gaylor","WR","Miami (OH)","6-3",199,4.56,37.5,NA,121,7.03,4.29
"Kabeer Gbaja-Biamila","OLB","San Diego State","6-4",243,4.65,34,21,120,6.9,4.28
"Sherrod Gideon","WR","Southern Miss","5-11",173,4.66,NA,NA,NA,NA,NA
"Ian Gold","OLB","Michigan","6-1",221,4.56,33,21,115,6.97,4.19
"Dwayne Goodrich","CB","Tennessee","5-11",195,4.45,NA,NA,NA,NA,NA
"Lamar Grant","CB","Duke","5-11",188,4.62,32,16,117,7.3,4.3
"Deon Grant","S","Tennessee","6-2",209,4.5,NA,15,NA,NA,NA
"Ernest Grant","DT","Ark-Pine Bluff","6-5",316,5.31,29.5,24,98,8,5.03
"Jonathan Gray","OT","Texas Tech","6-4",338,5.85,23,20,94,NA,NA
"Brian Gray","CB","BYU","6-1",214,4.94,33.5,19,116,7.38,4.24
"Barrett Green","OLB","West Virginia","6-0",233,4.56,36,22,120,NA,NA
"Mike Green","S","NW State (LA)","6-0",189,4.53,38.5,NA,118,NA,4.2
"Mike Green","FB","Houston","6-0",253,4.78,28.5,25,108,7.08,4.34
"Damian Gregory","DT","Illinois State","6-2",307,4.87,30,27,105,7.37,4.6
"Cornelius Griffin","DE","Alabama","6-3",297,4.9,31,30,111,7.63,4.62
"Clark Haggans","OLB","Colorado State","6-3",253,4.97,31.5,20,109,7.12,4.21
"Ricky Hall","WR","Virginia Tech","6-2",206,4.52,NA,NA,NA,NA,NA
"Dante' Hall","RB","Texas A&M","5-8",191,4.44,38,18,123,6.62,3.82
"James Hall","DE","Michigan","6-2",271,5.03,32,NA,111,7.86,4.51
"Troy Hambrick","RB","South Carolina","6-0",237,4.66,34.5,21,118,7.48,4.44
"Joey Hamilton","WR","Jacksonville State","6-1",201,4.54,36,NA,116,7.57,4.41
"Joe Hamilton","QB","Georgia Tech","5-10",192,4.81,NA,NA,106,NA,NA
"Thomas Hamner","RB","Minnesota","6-0",197,4.5,32,17,125,6.97,4.07
"D'Andre Hardeman","FB","Texas A&M","5-10",238,4.81,30,NA,109,7.27,4.36
